,Unnamed: 0,disease,workout
343,343,Osteoarthristis,Wall Squats: Squat gently while against the wall.
344,344,Osteoarthristis,Calf Raises: Stand on toes and lower heels.
345,345,Osteoarthristis,Hamstring Stretch: Stretch one leg at a time.
346,346,Osteoarthristis,Hip Flexor Stretch: Lunge and stretch hip flexors.
347,347,Osteoarthristis,Bridge Pose: Lift hips to strengthen glutes.
348,348,Osteoarthristis,Tai Chi or Yoga: Low-impact exercises for balance and flexibility.
349,349,Osteoarthristis,Maintain a healthy weight
350,350,Arthritis,Leg Extensions
351,351,Arthritis,Range of Motion Exercises(shoulder circles)
352,352,Arthritis,Walking
353,353,Arthritis,Hamstring Stretch
354,354,Arthritis,Calf Raises
355,355,Arthritis,Water Aerobics
356,356,Arthritis,Squats
357,357,Arthritis,Ankle Circles
358,358,Arthritis,Side-Lying Leg Raises
359,359,Arthritis,Upper Body Rotation
360,360,(vertigo) Paroymsal  Positional Vertigo,"Epley Maneuver"
361,361,(vertigo) Paroymsal  Positional Vertigo,Brandt-Daroff Exercises
362,362,(vertigo) Paroymsal  Positional Vertigo,Head-tilt Exercise
363,363,(vertigo) Paroymsal  Positional Vertigo,Tai Chi or Yoga
364,364,(vertigo) Paroymsal  Positional Vertigo,Posture Correction
365,365,(vertigo) Paroymsal  Positional Vertigo,Balance Training
366,366,(vertigo) Paroymsal  Positional Vertigo,Cawthorne-Cooksey Exercises
367,367,(vertigo) Paroymsal  Positional Vertigo,Semont Maneuver
368,368,(vertigo) Paroymsal  Positional Vertigo,Walking
369,369,(vertigo) Paroymsal  Positional Vertigo,Swimming
370,370,Acne,Push-ups
371,371,Acne,Squats
373,373,Acne,Yoga (Downward Dog)
374,374,Acne,Leg Raises
375,375,Acne,Burpees
376,376,Acne,Cycling
377,377,Acne,Swimming
378,378,Acne,Hip Thrusts
379,379,Acne,Reverse Crunches
380,380,Urinary tract infection,Kegel Exercises
381,381,Urinary tract infection,Deep Breathing
382,382,Urinary tract infection,Walking
383,383,Urinary tract infection,Hip Flexor Stretch
384,384,Urinary tract infection,Bridge Pose
385,385,Urinary tract infection,Pelvic Tilts
386,386,Urinary tract infection,Squats
387,387,Urinary tract infection,Running
388,388,Urinary tract infection,Stretching
389,389,Urinary tract infection,Meditation
390,390,Psoriasis,Walking
391,391,Psoriasis,Child's Pose (Balasana)
392,392,Psoriasis,Gentle Yoga
393,393,Psoriasis,Stretching
394,394,Psoriasis,Swimming
395,395,Psoriasis,Pilates
396,396,Psoriasis,Cycling
397,397,Psoriasis,Resistance Band Training
398,398,Psoriasis,Breathing Exercises (Pranayama)
399,399,Psoriasis,Bodyweight Exercises (Push-ups, Squats, Lunges)
400,400,Impetigo,Jump Squats
401,401,Impetigo,Tricep Dips
402,402,Impetigo,Leg Raises
403,403,Impetigo,Bicycle Crunches
404,404,Impetigo,Deadlifts
405,405,Impetigo,Push-ups
406,406,Impetigo,Lunges
407,407,Impetigo,Planks
408,408,Impetigo,Bicep Curls
409,409,Impetigo,Squats
